+1,United States
+1 242,Bahamas
+1 246,Barbados
+1 264,Anguilla
+1 268,Antigua and Barbuda
+1 284,British Virgin Islands
+1 345,Cayman Islands
+1 441,Bermuda
+1 473,Grenada
+1 649,Turks and Caicos Islands
+1 664,Montserrat
+1 670,Northern Mariana Islands
+1 671,Guam
+1 684,American Samoa
+1 758,Saint Lucia
+1 767,Dominica
+1 784,Saint Vincent and the Grenadines
+1 868,Trinidad and Tobago
+1 869,Saint Kitts and Nevis
+1 876,Jamaica
+20,Egypt
+212,Morocco
+213,Algeria
+216,Tunisia
+218,Libya
+220,Gambia
+221,Senegal
+222,Mauritania
+223,Mali
+224,Guinea
+225,Ivory Coast
+226,Burkina Faso
+227,Niger
+228,Togo
+229,Benin
+230,Mauritius
+231,Liberia
+232,Sierra Leone
+233,Ghana
+234,Nigeria
+235,Chad
+236,Central African Republic
+237,Cameroon
+238,Cape Verde
+239,São Tomé and Príncipe
+240,Equatorial Guinea
+241,Gabon
+242,Republic of the Congo
+243,Democratic Republic of the Congo
+244,Angola
+245,Guinea-Bissau
+246,British Indian Ocean Territory
+247,Ascension Island
+248,Seychelles
+249,Sudan
+250,Rwanda
+251,Ethiopia
+252,Somalia
+253,Djibouti
+254,Kenya
+255,Tanzania
+256,Uganda
+257,Burundi
+258,Mozambique
+260,Zambia
+261,Madagascar
+262,Réunion
+263,Zimbabwe
+264,Namibia
+265,Malawi
+266,Lesotho
+267,Botswana
+268,Eswatini
+269,Comoros
+290,Saint Helena
+291,Eritrea
+297,Aruba
+298,Faroe Islands
+299,Greenland
+350,Gibraltar
+351,Portugal
+352,Luxembourg
+353,Ireland
+354,Iceland
+355,Albania
+356,Malta
+357,Cyprus
+358,Finland
+359,Bulgaria
+370,Lithuania
+371,Latvia
+372,Estonia
+373,Moldova
+374,Armenia
+375,Belarus
+376,Andorra
+377,Monaco
+378,San Marino
+379,Vatican City
+380,Ukraine
+381,Serbia
+382,Montenegro
+383,Kosovo
+384,Croatia
+385,Slovenia
+386,Slovakia
+387,Bosnia and Herzegovina
+389,North Macedonia
+44,United Kingdom
+420,Czech Republic
+421,Slovakia
+423,Liechtenstein
+473,Grenada
+500,South Georgia and the South Sandwich Islands
+501,Belize
+502,Guatemala
+503,El Salvador
+504,Honduras
+505,Nicaragua
+506,Costa Rica
+507,Panama
+508,Guadeloupe
+509,Haiti
+590,Guadeloupe
+591,Bolivia
+592,Guyana
+593,Ecuador
+594,French Guiana
+595,Paraguay
+596,Martinique
+597,Suriname
+598,Uruguay
+599,Curacao
+600,Australian External Territories
+601,Malaysia
+7,Russia
+81,Japan
+91,India
